Name,Lot No.,Kilometers,Price
One Hand Bike,11,10000,"Rs. 2,00,000"
Xplus 200,62,40,"Rs. 3,75,000"
Hero Honda Pleasure 52 Lat Fresh Urjent Sell Plz Plz Plz No Coment..,52,19560,"Rs. 57,500"
Hero Pleasure Plus,Na,,"Rs. 1,89,000"
Hero Honda Glamour For Sale,45,,"Rs. 55,000"
Hero Dash Scooty,52,12225,"Rs. 99,000"
Hero Dash Scooty,52,12225,"Rs. 99,000"
Hero Pleasure Scooter,45,20450,"Rs. 55,000"
Hero Honda Street,15,,"Rs. 35,000"
Fresh Hero Super Splendor - Urgent Sale,63,44647,"Rs. 1,10,000"
"Hero Honda Spender Pro, Contact=9813736967",51,,"Rs. 66,000"
Hero Splendor Ismart 110,85,16000,"Rs. 1,10,000"
Hero Xpulse 200 For Sell,20,3000,"Rs. 3,50,000"
One Hand Used Officers Fav Good Mileage N Pick Up Bike Super Splendor,53,45000,"Rs. 75,900"
Honda Dio,85,14300,"Rs. 1,35,000"
Pleasure Scooter On Sale (49 Lot ),49,50000,"Rs. 60,000"
Maestro For Sale,87,12000,"Rs. 1,10,000"
Fresh Pleasure,71,36000,"Rs. 65,000"
Mestro New,04,11000,"Rs. 1,40,000"
200s,04,8000,"Rs. 2,50,000"
200s,04,8000,"Rs. 2,50,000"
Xtreme 66 Lot 26000 Km,66,,"Rs. 99,999"
Pleasure,53,17047,"Rs. 65,000"
Splendor,51,,"Rs. 80,000"
Hero Xpluse On Sale,01,4500,"Rs. 3,45,000"
Pleasure Scooter For Sale,42,27000,"Rs. 48,000"
Single Hand Used Hero One N Only Comfortable Metal Body Scooty Duet,75,20000,"Rs. 1,00,900"
New Xpulse,02,1200,"Rs. 3,60,000"
New Xpulse,02,1200,"Rs. 3,60,000"
Hero Extreme 200rr,45,17250,"Rs. 1,89,900"
Karizma Zmr Single Hand On Sale,Ja,,"Rs. 95,000"
Mero Expol 200 T,05,1500,"Rs. 2,70,000"
For Sel,62,,"Rs. 85,000"
Pleasure Scooty On Sell,35,37000,"Rs. 39,000"
Hero Pleasure Drs,Na,,"Rs. 1,76,500"
Cbz Extreme 150cc,47,55000,"Rs. 82,000"
Scooter,86,16000,"Rs. 1,50,000"
Hero Honda Splendor Bike On Sell,6,,"Rs. 22,000"
X Pulse 200t,11,3400,"Rs. 2,99,999"
Hero Super Slender Pro On Sale,57,"30,000","Rs. 1,00,000"
"Pradesh:3, Lot:11",11,3800,"Rs. 1,60,000"
Super Slender,52,25000,"Rs. 95,000"
Super Slender,52,25000,"Rs. 95,000"
Scooter In Saleee,79,,"Rs. 1,10,000"
Hero Dash,16,,"Rs. 2,000"
Cbz Extream Bike On Sale,43,,"Rs. 70,000"
Cbz Extreme Excellent Condition.,47,50000,"Rs. 1,10,000"
Xtream 200 On Sale,60,16000,"Rs. 2,00,000"
Scooter,38,,"Rs. 48,000"
Hero Honda Cbz Xtreme On Sale!,42,42000,"Rs. 68,000"
Hero Honda Cbz Xtreme On Sale!,42,42000,"Rs. 68,000"
Low Run Hero Xtreme 200 Cc In Great Condition,11,7666,"Rs. 2,60,000"
Super Splender,23,,"Rs. 1,25,000"
Pleasure Scotty,50,22k,"Rs. 65,000"
Passion Pro,3,,"Rs. 65,000"
Hero Glamour 125 Cc On Sale,55,31500,"Rs. 95,000"
Selling Scooter,64,,"Rs. 1,00,000"
Hero Extreme 200 Abs System Bike,98,20000,"Rs. 1,75,000"
Hero Pleasure On Sale,35,,"Rs. 48,000"
86 Lot Hero Splender Plus Fresh Condition Bike,86,19000,"Rs. 97,000"
Ismart Hero Splendor,68,13000,"Rs. 1,45,000"
Hero Splendor Pro Classic,- ,,"Rs. 1,61,500"
Super Splendor With Super Milage,10,42000,"Rs. 75,000"
Xtreme Bike On Sale,59,,"Rs. 1,00,000"
Xtreme Bike On Sale,59,,"Rs. 1,00,000"
Good,91,35,"Rs. 1,35,000"
Hero Ismart 100 Cc (ga 9 Pa 5537),9 ,,"Rs. 80,000"
Ismart Splender 110,83,15000,"Rs. 1,20,000"
Urgent Sale Super Splendor,51,28000,"Rs. 1,05,000"
Hero Karizma R,- ,,"Rs. 2,62,000"
Hero Super Splendor 125 Cc One Hand Bike,07,30000,"Rs. 1,40,000"
Herohonda Cbz,47,89899,"Rs. 90,000"
Herohonda Cbz,47,89899,"Rs. 90,000"
Cbz Xtreme Sale,50,76000,"Rs. 75,000"
Pleasure Scooter 39lot 25thau,39,29000,"Rs. 25,000"
Cbz Fresh Bike On Urgent Sale,59,59k,"Rs. 90,000"
Fine Condition,47,45000,"Rs. 85,000"
Urgent Sel,67,17000,"Rs. 75,000"
Pleasure Scooter,42,25488,"Rs. 70,000"
Cbz Bike On Sell,23,,"Rs. 38,000"
Hero Super Splendor Bike On Sale,27,50000,"Rs. 1,00,000"
Splendor Pro Bikri Ma,72,21000,"Rs. 95,000"
Hero Hf Deluxe,53,,"Rs. 78,000"
Hero Duet Vx,- ,,"Rs. 1,92,000"
Hero Bike,59,,"Rs. 82,000"
Hero Dash Pardesh 3 Lot 5 On Sell,5,,"Rs. 1,26,000"
Hero Dash Pardesh 3 Lot 5 On Sell,5,,"Rs. 1,26,000"
44 Lot Twister On Sale,44,,"Rs. 59,000"
Super Splendor 91 Lot Urgent Sale,91,"12,000","Rs. 1,34,999"
Single Hand Used Hero 110cc Power Stylish N Comfortable Scoty Pleasure,64,25000,"Rs. 85,900"
Extreme Sports: (75 Lot) Hero,75,20000,"Rs. 1,32,000"
Hero Honda Cbz(45-lot),45,45000,"Rs. 65,999"
Hero Splendor +,- ,,"Rs. 1,77,500"
Maestro Edge (urgent Sale),04,7000,"Rs. 1,45,000"
Maestro Edge (urgent Sale),04,7000,"Rs. 1,45,000"
Cbz Extreme On Sale,26,,"Rs. 50,000"
Pleasure Ramro Khalko Xa Hai..,31,,"Rs. 45,000"
X Pluse 200,14,10000,"Rs. 3,50,000"
Hero Maestro Sell,01,3500,"Rs. 1,40,000"
Hero Glamour,53,23000,"Rs. 65,000"
38 Lot Very Very Fresh Pleasure Scooter For Sale.,38,,"Rs. 55,000"
Hero Glamour Bike,09,500,"Rs. 1,85,000"
Cbz Extreme,50,,"Rs. 80,000"
223cc Hero Honda Karishma 53lot,53,39000,"Rs. 56,000"
Hero Dash 86 Lot On Sell,86,,"Rs. 1,07,888"
Cbz Extreme Motorbike Odd Number Plate,11,50000,"Rs. 99,999"
Xpulse 200,01,2386,"Rs. 3,70,000"
Hunk 150 Double Disc On Sale,9 ,45000,"Rs. 75,000"
Hunk 150 Double Disc On Sale,9 ,45000,"Rs. 75,000"
Xtreme,9,,"Rs. 85,000"
Cbz Xtreme,23,69000,"Rs. 95,000"
Hero Dash Vx,Na,,"Rs. 1,76,500"
Sale,20,17917,"Rs. 1,50,000"
Hero Splender Passion Pro T R,- ,,"Rs. 1,68,000"
Hero Mastero Scooter On Sell,88,5,"Rs. 1,20,000"
Hero Pleasure Scooty 84 Lot,84,20000,"Rs. 1,40,000"
Hero Pleasure Scooty 84 Lot,84,20000,"Rs. 1,40,000"
Hero Dash,42,22000,"Rs. 80,000"
Urgent Sale Hero Nxg Splendar,36,,"Rs. 60,000"
Pleasure Scooty 45 Lot,45,48000,"Rs. 55,000"
Karishma,52,18000,"Rs. 35,000"
Passion Plus Urgent Sale,9 ,22000,"Rs. 70,000"
Hero Splender: 58 Lot,58,,"Rs. 70,000"
Hero Karizma Zmr,- ,,"Rs. 3,23,000"
Hero Duet On Sale,83,17000,"Rs. 1,00,000"
Super Spelendor Bike On Sale,16,45000,"Rs. 90,000"
Hero Xpulse 111lot Dirt,11,10000,"Rs. 3,30,000"
Hero Super Splender D R S,- ,,"Rs. 1,98,000"
Hero Splendor + On Sell Lot 95,95,,"Rs. 1,22,000"
61 Lot Hero Ismart I3s Fresh Bike For Sale,61,28000,"Rs. 76,000"
61 Lot Hero Ismart I3s Fresh Bike For Sale,61,28000,"Rs. 76,000"
Xtreme Sports 150 (hero),68,,"Rs. 1,10,000"
Ismart Bike,75,30000,"Rs. 1,10,000"
Hero Pleasure Metal Sheet,-,,"Rs. 1,76,500"
Hero Duet,80,14000,"Rs. 1,15,000"
Hero Dash 71 Lots Sale/xhange,71,24000,"Rs. 88,900"
Super Splender 21lot 21thau,21,99000,"Rs. 21,000"
Urgent Sell,34,10500,"Rs. 85,000"
Urgent Sell,34,10500,"Rs. 85,000"
Hero Duet (110 Cc),79,22647,"Rs. 1,20,000"
Hero Xtreme Sports D S S,- ,,"Rs. 2,55,000"
Hero Pleasure Sale,38,,"Rs. 45,000"
Hero Honda Extreme Digital,1 ,33000,"Rs. 1,00,000"
Hero Destini,Na,,"Rs. 2,10,000"
Hero Pleasure ( Excellent Condition),48,20000+,"Rs. 65,000"
Hero Dash On Urgent Sell,71,12000,"Rs. 77,000"
Dash Scooter 72 Lot,72,30000,"Rs. 92,000"
Bike For Sale Urgent,70,5239,"Rs. 1,30,000"
Hero Splendor Ismart Drs,- ,,"Rs. 1,83,500"
Need Xr Bike,..,,"Rs. 9,841"
Scooty Sale,79,,"Rs. 1,25,000"
11000,11,,"Rs. 1,40,000"
11000,11,,"Rs. 1,40,000"
Splendor Pro Hero,46,,"Rs. 70,000"
51 Lot Super Splender On Sale,51,,"Rs. 80,000"
Glamour 125 Cc Bike,92,,"Rs. 1,20,000"
Splendor On Sale,39,,"Rs. 67,000"
Hero Honda Pleasure (single User) Lot 43,43,35000,"Rs. 65,000"
Hero Honda Cbz Extreme 51lot For Sale,51,,"Rs. 70,000"
Hero Honda Sleek,3 ,,"Rs. 10,000"
Hero Honda Sleek,3 ,,"Rs. 10,000"
Hero Hunk D D S,- ,,"Rs. 2,16,500"
Cbz Bike Ergent Sale,34,,"Rs. 60,000"
Excellent Condition Hero Xtreme On Sale,8 ,25400,"Rs. 1,00,000"
71 Lot Hero Ismart Bike On Sale,71,25000,"Rs. 98,000"
40 Lot Cbz,40,,"Rs. 65,000"
Hero Splendor Pro D R S,- ,,"Rs. 1,61,500"
Hero Glamour Pgm - Fi,- ,,"Rs. 1,89,500"
27 Lot Fresh Splendor For Sale.,27,,"Rs. 50,000"
Hero Pleasure On Sale,73,5532,"Rs. 1,30,000"
Urgent Sell,75,21651,"Rs. 1,20,000"
Hero I Smart,68,19000,"Rs. 90,000"
Splender+,4 ,50000,"Rs. 45,000"
Pleasure On Sale,66,,"Rs. 1,05,000"
Pleasure On Sale,66,,"Rs. 1,05,000"
Hero Xtreme D D S,- ,,"Rs. 2,28,000"
Street On Sale,12,,"Rs. 30,000"
Cb Trigger150 On Sale,61,28000,"Rs. 90,000"
Hero Achiever,- ,,"Rs. 2,30,000"
Cbz Extreme,45,,"Rs. 75,000"
Hero Extreme New Model 62 Lot,62,,"Rs. 1,00,000"
54lot Fresh Cbz Xtreme Digital Kick Vako Only 69thu,54,328688,"Rs. 69,000"
54lot Fresh Cbz Xtreme Digital Kick Vako Only 69thu,54,328688,"Rs. 69,000"
Hero Splinder 53 Lots Sale/xchange,53,,"Rs. 73,900"
Hero Splender Sale 84 Lot,84,23000,"Rs. 1,00,000"
Hero Maestro Edge,- ,,"Rs. 1,94,000"
Hero Honda Pleasure Scooty,30,,"Rs. 40,000"
Hero Super Splendour,12,18000,"Rs. 70,000"
Hero Cbz 56 Lat Fresh Urjent Sell,56,27500,"Rs. 83,500"
Hero Hf Deluxe D R S,- ,,"Rs. 1,66,500"
Ismart 62 Lot,62,,"Rs. 70,000"
Hero Side Cover,11,,"Rs. 5,000"
Sell,84,18500,Rs. 150
Tihar Ko Uplachya Ma Bumper Sale,9 ,48211,"Rs. 67,000"
Hero Hunk D S S,- ,,"Rs. 2,11,000"
Splendor On Sale,86,20000,"Rs. 1,25,000"
Splendor On Sale,86,20000,"Rs. 1,25,000"
Hero Splendor I Smart On Sale,63,,"Rs. 75,000"
Pleaser,34,,"Rs. 45,000"
Hero Isamrt Bike On Sale 71 Lot,71,,"Rs. 77,000"
Hero Splender Pro,14,2300,"Rs. 1,36,500"
Fresh Hunk,48,,"Rs. 65,000"
One Hand Hero Ismart On Urgent Sell,66,14000,"Rs. 82,000"
Pleasure 80lot,80,,"Rs. 1,00,000"
Pleasure 80lot,80,,"Rs. 1,00,000"
Hero Maestro Edge,14,27000,"Rs. 1,10,000"
57lot Fresh Splendor Pro One Hand Use Only 74thu,57,26478,"Rs. 74,000"
Hero Glamour D S S,- ,,"Rs. 1,98,500"
Urgent Sale Hurry Up,14,,"Rs. 2,50,000"
42 Lot Cbz For Sale,42,,"Rs. 65,000"
51 Lot Super Splendor For Sale,51,40000,"Rs. 85,000"
Hero Passion Pro,- ,,"Rs. 1,78,000"
Good Condition Hero Honda Ambition Motorcycle,18,90000,"Rs. 50,000"
Cbz On Sale,34,30000,"Rs. 55,000"
Hero Glamour D R S,- ,,"Rs. 1,93,000"
Fresh Less Used Hero Pleasure Scooty Like New,52,22000,"Rs. 87,000"
125glamour 45lot,45,28000,"Rs. 59,000"
Dio,78,19000,"Rs. 1,28,000"
Dio,78,19000,"Rs. 1,28,000"
Ramro Condition Ko Pleasure Scooty,34,40000,"Rs. 40,000"
Hero Achiever 150 9849211449,82,24000,"Rs. 1,20,000"
Scooter On Sell,12,,"Rs. 1,20,000"
Cbz Xtrem With Double Disk,8 ,56000,"Rs. 99,000"
91 Lot Hero Pleasure Scooter For Sale,91,11000,"Rs. 1,23,000"
Galomr Bike Sale Biratnagar,11,42000,"Rs. 75,000"
Splender Bike On Sale,21,,"Rs. 35,000"
Splender Bike On Sale,21,,"Rs. 35,000"
Splendor On Sale,41,,"Rs. 75,000"
Plasure,44,37000,"Rs. 59,000"
Splendor Pro On Sale,74,,"Rs. 1,09,000"
Super Hero Sale Babal Picop,17,21005,"Rs. 1,10,000"
Hero Splnder,25,32142,"Rs. 1,20,000"
Jmr Bike Sale,55,55000,"Rs. 95,000"
Hero Glamour 97 Lot Single Hand Bike On Sell,97,18000,"Rs. 1,39,000"
For Sell,88,9000,"Rs. 1,75,000"
Hero Super Old,5 ,78667,"Rs. 66,000"
64 Lot Pleasure On Sale,64,23k,"Rs. 89,000"
Super Splyder Bike For Hero,11,46812,"Rs. 90,000"
Hero Super Balck Sale,25,21055,"Rs. 1,35,000"
Hero Duit,26,42063,"Rs. 95,000"
Hero Duit,26,42063,"Rs. 95,000"
Hero Glamour Pr-3 1 Lot On Sell,-1,8000,"Rs. 1,35,000"
Honda Avser Bike Sale,29,40652,"Rs. 1,15,000"
Hero Honda Splendor On Sale,37,,"Rs. 75,000"
Hero Cbz Xtreme 47lot On Sell,47,,"Rs. 65,000"
Fresh Ismart On Sale,64,,"Rs. 1,09,000"
Hero Super Sale Our Excheng,14,49000,"Rs. 90,000"
Hero Super Splendor 84lot On Sell,84,18000,"Rs. 1,25,000"
Hero Super Splendor 84lot On Sell,84,18000,"Rs. 1,25,000"
Bikrima,80,18000,"Rs. 1,20,000"
I Smart,60,,"Rs. 50,000"
Hero Ismart Pr-3 3lot On Sell,3 ,1600,"Rs. 1,37,000"
Hero Pleasure Pr-3 8lot On Sell,8 ,2500,"Rs. 1,55,000"
Hero Dash Pr-3 7lot On Sell,7 ,7000,"Rs. 1,25,000"
Hero Pleasure Scooty,54,,"Rs. 66,666"
Hero Super Splander Pr-3 6lot On Sell,6 ,5000,"Rs. 1,69,000"
Hero Glamour Pr-3 5lot On Sell,5 ,3000,"Rs. 1,60,000"
Lik Show Room Condition Hero Honda Splendor Plus 44lot,44,22+,"Rs. 65,000"
78 Lot Super Spelender Super Fresh Condition,78,,"Rs. 99,000"
74 Lot Super Spelender Fresh Condition,64,,"Rs. 95,000"
Hero Honda Splende Bike,42,,"Rs. 60,000"
31 Lot Nxg Spelender Single Handed Used,31,,"Rs. 52,000"
31 Lot Nxg Spelender Single Handed Used,31,,"Rs. 52,000"
81 Lot I Smart Fresh Condition,81,,"Rs. 99,000"
Hero Xpulse 200t,13,4000,"Rs. 3,00,000"
One Hand Splendor Nxg On Sale,32,80k,"Rs. 50,000"
Hero Glamour 64 Lots Sale/xchange,64,27000,"Rs. 78,900"
